259 1258 D 1200 D 6543 831 -23286 0
260 1308 D 1250 D 6803 843 -23293 0
261 1358 D 1200 D 7063 837 -23570 0
262 1408 D 1250 D 7323 835 -23330 0
263 1408 D 1100 D 7323 834 -23490 0
264 1308 D 1250 D 6803 838 -23419 0
265 1308 D 1200 D 6803 833 -23425 0
266 1308 D 1150 D 6803 837 -23494 0
267 1558 D 1450 D 8103 838 -23436 0
268 1508 D 1250 D 7843 825 -23733 0
269 1458 D 1200 D 7583 834 -23604 0
270 1508 D 1250 D 7843 839 -23228 0
271 800 D 900 D 4160 834 -21512 1
272 1000 D 900 D 5200 833 -21439 1
273 1100 D 1000 D 5720 831 -21559 0
274 1000 D 800 D 5200 850 -21585 1
275 800 D 700 D 4160 829 -21641 1
276 900 D 1000 D 4680 841 -21466 1
277 800 D 900 D 4160 823 -21493 1
278 1000 D 1000 D 5200 831 -21415 1
279 1200 D 1200 D 6240 836 -21721 0
280 1000 D 1100 D 5200 835 -21757 1
281 1000 D 1000 D 5200 833 -21826 1
282 800 D 700 D 4160 848 -21705 1
283 800 D 700 D 4160 842 -21606 1
284 900 D 800 D 4680 845 -21627 1
285 1200 D 1200 D 6240 849 -21724 0
286 1000 D 1000 D 5200 845 -21718 1
287 900 D 900 D 4680 832 -21739 1
288 900 N 900 D 4230 844 -21396 1
289 800 D 900 D 4160 835 -21393 1
290 1000 D 1000 D 5200 842 -21376 1
291 1100 D 1100 D 5720 820 -21367 0
292 1000 D 900 D 5200 872 -21263 1
293 800 D 800 D 4160 839 -21466 1
294 900 D 800 N 4680 841 -21500 1
295 800 D 800 D 4160 836 -21461 1
296 1000 D 900 D 5200 834 -21476 1
297 1350 D 1100 D 7020 843 -21607 0
298 1000 D 900 D 5200 833 -21678 1
299 900 D 900 D 4680 830 -21685 1
300 800 N 800 N 3760 829 -21469 1
301 800 D 800 D 4160 836 -21582 1
302 900 D 800 N 4680 833 -21579 1
303 1100 D 1100 D 5720 833 -21505 0
304 1000 D 900 D 5200 837 -21397 1
305 800 D 900 D 4160 839 -21629 1
306 900 D 900 D 4680 841 -21520 1
307 700 D 800 D 3640 836 -21648 1
308 700 D 700 D 3640 836 -21605 1
309 1100 D 900 D 5720 828 -21916 0
310 1000 D 800 D 5200 832 -22059 1
311 900 D 700 D 4680 832 -21781 1
312 800 D 700 D 4160 831 -21548 1
313 700 D 700 D 3640 838 -21615 1
314 800 D 800 D 4160 826 -21570 1
315 1200 D 1200 D 6240 833 -21846 0
316 1000 D 1100 D 5200 838 -21741 1
317 900 D 1000 D 4680 833 -21792 1
318 700 D 800 D 3640 830 -21895 1
319 700 D 700 D 3640 835 -21808 1
